name,type,deprecated,help,category,title,subtitle,num_inlets,num_outlets,year,author1,contact1,author2,contact2,author3,contact3
cv.jit.blobs.bounds.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.bounds.draw,Draw blob bounds,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.centroids.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.centroids.draw,Draw blob centroids,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.color,abstraction,0,FALSE,drawing,cv.jit.blobs.color,Paint each blob a different color,1,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.colour,abstraction,0,FALSE,drawing,cv.jit.blobs.colour,Paint each blob a different colour,1,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.direction.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.direction.draw,Draw blob directions,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.elongation.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.elongation.draw,Draw blob elongations,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.orient.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.orient.draw,Draw blob orientations,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.blobs.orientation.draw,abstraction,0,FALSE,drawing,cv.jit.blobs.orientation.draw,Draw blob orientations,3,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.cartopol,abstraction,1,TRUE,utility,cv.jit.cartopol,,2,2,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.centroids.draw,abstraction,0,FALSE,drawing,cv.jit.centroids.draw,Draw image centroids,2,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.changetype,abstraction,0,TRUE,utility,cv.jit.changetype,Convert a matrix to another type,1,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.circles.draw,abstraction,1,FALSE,drawing,cv.jit.circles.draw,,2,1,2019,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.circularity,abstraction,0,TRUE,shape,cv.jit.circularity,Calculate compactness of a shape,1,2,2004,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.close,abstraction,0,TRUE,morphology,cv.jit.close,Morphological close operation,1,1,2003,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
cv.jit.direction,abstraction,0,TRUE,shape,cv.jit.direction,Calculate main axis of an image,1,1,2007,Jean-Marc Pelletier,jmp@jmpelletier.com,,,,
